RefSOUSSOUSDomaineF,RefSOUSDomaineF,Le_nom,Description,Notes,Nombre_avis,Duree,Niveau,Liens,MotsCles
CEGOS_DomaineF-23-05-06,CEGOS_DomaineF-23-05,PRINCE2® Foundation,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/prince2-foundation,"princer, foundation"
CEGOS_DomaineF-23-05-07,CEGOS_DomaineF-23-05,Obtenir la certification PMP® (Inscription à l''examen PMI® incluse),,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/obtenir-la-certification-pmp-inscription-a-lexamen-pmi-incluse,"obtenir, certification, inscription, examen, incluse"
CEGOS_DomaineF-23-05-08,CEGOS_DomaineF-23-05,Du cahier des charges à la recette informatique,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/du-cahier-des-charges-a-la-recette-informatique,"cahier, charges, recette, informatique"
CEGOS_DomaineF-23-05-09,CEGOS_DomaineF-23-05,Microsoft® Project : les fondamentaux,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/microsoft-project-les-fondamentaux,"microsoftr, project, fondamentaux"
CEGOS_DomaineF-23-05-10,CEGOS_DomaineF-23-05,3h chrono pour pratiquer 3 outils de la gestion de projet agile,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/3h-chrono-pour-acquerir-une-culture-projet-agile,"chrono, pratiquer, outils, gestion, projet, agile"
CEGOS_DomaineF-23-05-11,CEGOS_DomaineF-23-05,Formation - ITIL® 4 Foundation,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/formation-itil-4-foundation,"formation, itilr, foundation"
CEGOS_DomaineF-23-05-12,CEGOS_DomaineF-23-05,Sensibilisation à la démarche ITSM - Gestion des services IT,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/sensibilisation-a-la-demarche-itsm-gestion-des-services-it,"sensibilisation, demarche, itsm, gestion, services"
CEGOS_DomaineF-23-05-13,CEGOS_DomaineF-23-05,Mettre en œuvre la méthode agile KANBAN,,,,0,,https://www.cegos.fr/formations/systemes-dinformation-informatique/mettre-en-oeuvre-la-methode-agile-kanban,"mettre, oeuvre, methode, agile, kanban"
CEGOS_DomaineF-24-01-01,CEGOS_DomaineF-24-01,Responsable Innovation,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/responsable-innovation,"responsable, innovation"
CEGOS_DomaineF-24-01-02,CEGOS_DomaineF-24-01,Chef de projet innovation,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/chef-de-projet-innovation,"chef, projet, innovation"
CEGOS_DomaineF-24-01-03,CEGOS_DomaineF-24-01,Lean start up : développer des produits et services innovants,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/lean-start-up-developper-des-produits-et-services-innovants,"lean, start, developper, produits, services, innovants"
CEGOS_DomaineF-24-01-04,CEGOS_DomaineF-24-01,Manager : favoriser l''innovation au quotidien dans son équipe,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/manager-favoriser-linnovation-au-quotidien-dans-son-equipe,"manager, favoriser, innovation, quotidien, equipe"
CEGOS_DomaineF-24-01-05,CEGOS_DomaineF-24-01,Formation pratique aux plans d''expérience,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/formation-pratique-aux-plans-dexperience,"formation, pratique, plans, experience"
CEGOS_DomaineF-24-01-06,CEGOS_DomaineF-24-01,Mettre en place une démarche d''Eco conception,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/mettre-en-place-une-demarche-deco-conception,"mettre, place, demarche, conception"
CEGOS_DomaineF-24-02-01,CEGOS_DomaineF-24-02,Tout pour animer vos réunions de créativité,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/tout-pour-animer-vos-reunions-de-creativite,"animer, reunions, creativite"
CEGOS_DomaineF-24-02-02,CEGOS_DomaineF-24-02,3h chrono pour savoir réaliser un brainstorming,,,,0,,https://www.cegos.fr/formations/innovation-creativite-2/3h-chrono-pour-savoir-realiser-un-brainstorming,"chrono, savoir, realiser, brainstorming"
CEGOS_DomaineF-25-01-01,CEGOS_DomaineF-25-01,Construisez votre business plan international,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/construisez-votre-business-plan-international,"construisez, business, plan, international"
CEGOS_DomaineF-25-01-02,CEGOS_DomaineF-25-01,Gérer et accompagner la mobilité internationale et l''expatriation,,,,0,,https://www.cegos.fr/formations/ressources-humaines/gerer-et-accompagner-la-mobilite-internationale-et-lexpatriation,"gerer, accompagner, mobilite, internationale, expatriation"
CEGOS_DomaineF-25-01-03,CEGOS_DomaineF-25-01,Piloter un projet à distance,,,,0,,https://www.cegos.fr/formations/management-de-projets-gestion-de-projets/piloter-un-projet-a-distance,"piloter, projet, distance"
CEGOS_DomaineF-25-02-01,CEGOS_DomaineF-25-02,Tirer parti de l’accord Brexit,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/tirer-parti-de-laccord-brexit,"tirer, parti, laccord, brexit"
CEGOS_DomaineF-25-02-02,CEGOS_DomaineF-25-02,Cautions et garanties,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/cautions-et-garanties,"cautions, garanties"
CEGOS_DomaineF-25-03-01,CEGOS_DomaineF-25-03,Créer et manager vos réseaux de vente à l''international,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/creer-et-manager-vos-reseaux-de-vente-a-linternational,"manager, reseaux, vente, international"
CEGOS_DomaineF-25-03-02,CEGOS_DomaineF-25-03,Réussir vos négociations commerciales à l''international,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/reussir-vos-negociations-commerciales-a-linternational,"reussir, negociations, commerciales, international"
CEGOS_DomaineF-25-03-03,CEGOS_DomaineF-25-03,Travailler efficacement en environnement interculturel,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/travailler-efficacement-en-environnement-interculturel,"travailler, environnement, interculturel"
CEGOS_DomaineF-25-04-01,CEGOS_DomaineF-25-04,Organiser sa logistique internationale,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/organiser-sa-logistique-internationale,"organiser, logistique, internationale"
CEGOS_DomaineF-25-04-02,CEGOS_DomaineF-25-04,Les fondamentaux du transport,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/les-fondamentaux-du-transport,"fondamentaux, transport"
CEGOS_DomaineF-25-04-03,CEGOS_DomaineF-25-04,Connaître la réglementation douanière et maîtriser le transport - Niveau 2,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/connaitre-la-reglementation-douaniere-et-maitriser-le-transport-niveau-2,"connaitre, reglementation, douaniere, maitriser, transport, niveau"
CEGOS_DomaineF-25-04-04,CEGOS_DomaineF-25-04,Maîtrisez la gestion de vos commandes import export,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/maitrisez-la-gestion-de-vos-commandes-import-export,"maitrisez, gestion, commandes, import, export"
CEGOS_DomaineF-25-04-05,CEGOS_DomaineF-25-04,Maîtriser vos transports aériens et maritimes,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/maitriser-vos-transports-aeriens-et-maritimes,"maitriser, transports, aeriens, maritimes"
CEGOS_DomaineF-25-05-01,CEGOS_DomaineF-25-05,Comprendre et négocier le bon incoterm® 2020,,,,0,,https://www.cegos.fr/formations/international-developpement-des-ventes-a-lexport/comprendre-et-negocier-le-bon-incoterm-2020,"comprendre, negocier, bon, incotermr"
CEGOS_DomaineF-26-01-01,CEGOS_DomaineF-26-01,Approvisionnement et logistique : les fondamentaux de la Supply Chain,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/approvisionnement-et-logistique-les-fondamentaux-de-la-supply-chain,"approvisionnement, logistique, fondamentaux, chain"
CEGOS_DomaineF-26-01-02,CEGOS_DomaineF-26-01,RSE en logistique : formation pratique au référentiel,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/rse-en-logistique-formation-pratique-au-referentiel,"rse, logistique, formation, pratique, referentiel"
CEGOS_DomaineF-26-01-03,CEGOS_DomaineF-26-01,Logistique du e-commerce et du dernier kilomètre,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/logistique-du-e-commerce-et-du-dernier-kilometre,"logistique, commerce, dernier, kilometre"
CEGOS_DomaineF-26-01-04,CEGOS_DomaineF-26-01,Établir des prévisions de vente : entraînement pratique,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/etablir-des-previsions-de-vente-entrainement-pratique,"etablir, previsions, vente, pratique"
CEGOS_DomaineF-26-01-05,CEGOS_DomaineF-26-01,Logistique pour non-logisticien,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/logistique-pour-non-logisticien,"logistique, logisticien"
CEGOS_DomaineF-26-01-06,CEGOS_DomaineF-26-01,Le Lean appliqué à la logistique,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/le-lean-applique-a-la-logistique,"lean, applique, logistique"
CEGOS_DomaineF-26-01-07,CEGOS_DomaineF-26-01,Responsable Logistique : Manager votre Supply Chain,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/responsable-logistique-manager-votre-supply-chain,"responsable, logistique, manager, chain"
CEGOS_DomaineF-26-01-08,CEGOS_DomaineF-26-01,Executive Certificate Supply Chain : Black Belt,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/executive-certificate-supply-chain-black-belt,"executive, certificate, chain, black, belt"
CEGOS_DomaineF-26-01-09,CEGOS_DomaineF-26-01,Piloter la sous-traitance logistique,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/piloter-la-sous-traitance-logistique,"piloter, traitance, logistique"
CEGOS_DomaineF-26-01-10,CEGOS_DomaineF-26-01,Manager son magasin de stockage,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/manager-son-magasin-de-stockage,"manager, magasin, stockage"
CEGOS_DomaineF-26-02-01,CEGOS_DomaineF-26-02,Formation pratique à l''approvisionnement - Niveau 1,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/formation-pratique-a-lapprovisionnement-niveau-1,"formation, pratique, approvisionnement, niveau"
CEGOS_DomaineF-26-02-02,CEGOS_DomaineF-26-02,Formation pratique à l''approvisionnement - Niveau 2,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/formation-pratique-a-lapprovisionnement-niveau-2,"formation, pratique, approvisionnement, niveau"
CEGOS_DomaineF-26-02-03,CEGOS_DomaineF-26-02,Responsable Approvisionnement,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/responsable-approvisionnement,responsable
CEGOS_DomaineF-26-02-04,CEGOS_DomaineF-26-02,Méthodes pratiques de gestion des stocks,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/methodes-pratiques-de-gestion-des-stocks,"methodes, pratiques, gestion, stocks"
CEGOS_DomaineF-26-02-05,CEGOS_DomaineF-26-02,Organiser ses stocks au quotidien,,,,0,,https://www.cegos.fr/formations/supply-chain-logistique-transport/organiser-ses-stocks-au-quotidien,"organiser, stocks"
